tests,host,command,args,workdirectory,examiningString,isExaminingStringExpectedInStdout,expectedExit,timeout,exitShell
Verify that user <uid=user.openDJTafTest> is not the member of group <cn=group.openDJTafTest> on the first node,sc1,ldapsearch,"-b ou=People,COM_INF_LDAP_ROOT_SUFFIX uid=user.openDJTafTest isMemberOf",,"isMemberOf: cn=group.openDJTafTest,ou=Groups,COM_INF_LDAP_ROOT_SUFFIX",no,0,5000,exit
Verify that user <uid=user.openDJTafTest> is not the member of scope <cn=scope.openDJTafTest> on the second node,sc2,ldapsearch,"-b ou=People,COM_INF_LDAP_ROOT_SUFFIX uid=user.openDJTafTest isMemberOf",,"isMemberOf: cn=scope.openDJTafTest,ou=Scopes,COM_INF_LDAP_ROOT_SUFFIX",no,0,5000,exit
Verify that user <uid=user.openDJTafTest> is not the member of scope <cn=scope.openDJTafTest> on the first node,sc1,ldapsearch,"-b ou=People,COM_INF_LDAP_ROOT_SUFFIX uid=user.openDJTafTest isMemberOf",,"isMemberOf: cn=scope.openDJTafTest,ou=Scopes,COM_INF_LDAP_ROOT_SUFFIX",no,0,5000,exit
Verify deleting user <uid=user.openDJTafTest> on the second node,sc2,ldapdelete,"uid=user.openDJTafTest,ou=People,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,5000,exit
Verify that the user <uid=user.openDJTafTest> is deleted on the second node,sc1,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=user.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify that the deleting for user <uid=user.openDJTafTest> is replicated to the first node,sc2,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=user.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify deleting user <uid=laadUser> on the first node,sc1,ldapdelete,"uid=laadUser,ou=People,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,5000,exit
Verify that the user <uid=laadUser> is deleted on the first node,sc1,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=laadUser",,Total number of matching entries: 0,yes,0,5000,exit
Verify that deleting for user <uid=laadUser> is replicated to the second node,sc2,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=laadUser",,Total number of matching entries: 0,yes,0,5000,exit
Verify deleting user <uid=cppUser> on the second node,sc2,ldapdelete,"uid=cppUser,ou=People,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,5000,exit
Verify that user <uid=cppUser> is deleted on the second node,sc2,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=cppUser",,Total number of matching entries: 0,yes,0,5000,exit
Verify that deleting user <uid=cppUser> is replicated to the first node,sc1,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=cppUser",,Total number of matching entries: 0,yes,0,5000,exit
Verify deleting user <uid=m2mUser> on the first node,sc1,ldapdelete,"uid=m2mUser,ou=People,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,5000,exit
Verify that user <uid=m2mUser> is deleted on the first node,sc1,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=m2mUser",,Total number of matching entries: 0,yes,0,5000,exit
Verify that deleting for user <uid=m2mUser> is replicated to the second node,sc2,ldapsearch,"-b ou=people,COM_INF_LDAP_ROOT_SUFFIX --countEntries uid=m2mUser",,Total number of matching entries: 0,yes,0,5000,exit
Verify deleting role <cn=role.openDJTafTest> on the second node,sc2,ldapdelete,"cn=role.openDJTafTest,ou=Roles,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,10000,exit
Verify that role <cn=role.openDJTafTest> is deleted on the second node,sc2,ldapsearch,-b "ou=Roles,COM_INF_LDAP_ROOT_SUFFIX --countEntries cn=role.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify that the deleting for role <cn=role.openDJTafTest> is replicated on the first node,sc1,ldapsearch,-b "ou=Roles,COM_INF_LDAP_ROOT_SUFFIX --countEntries cn=role.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify deleting group <cn=group.openDJTafTest> on the second node,sc2,ldapdelete,"cn=group.openDJTafTest,ou=Groups,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,10000,exit
Verify that group <cn=group.openDJTafTest> is deleted on the second node,sc2,ldapsearch,"-b ou=Groups,COM_INF_LDAP_ROOT_SUFFIX --countEntries cn=group.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify that deleting for group <cn=group.openDJTafTest> is replicated to the first node,sc1,ldapsearch,"-b ou=Groups,COM_INF_LDAP_ROOT_SUFFIX --countEntries cn=group.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify deleting scope <cn=scope.openDJTafTest> on the second node,sc2,ldapdelete,"cn=scope.openDJTafTest,ou=Scopes,COM_INF_LDAP_ROOT_SUFFIX",,DELETE operation successful,yes,0,10000,exit
Verify that scope <cn=scope.openDJTafTest> is deleted on the second node,sc2,ldapsearch,"-b ou=Scopes,COM_INF_LDAP_ROOT_SUFFIX --countEntries cn=scope.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
Verify that deleting for scope <cn=scope.openDJTafTest> is replicated to the first node,sc1,ldapsearch,"-b ou=Scopes,COM_INF_LDAP_ROOT_SUFFIX --countEntries cn=scope.openDJTafTest",,Total number of matching entries: 0,yes,0,5000,exit
